time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.126716136932373047e+00
2.000000000000000042e-03,-2.768477197441171034e-04,5.738767008355484143e-04,-2.768393754946665286e-01,5.738600409592649054e-01,0.000000000000000000e+00,3.058683395385742188e+00
4.000000000000000083e-03,-1.101266561088001198e-03,2.282819380163695396e-03,-5.475542263409500787e-01,1.135032228292708556e+00,0.000000000000000000e+00,3.342213630676269531e+00
6.000000000000000125e-03,-2.492032874156918654e-03,5.165772421456126841e-03,-8.431680170635758031e-01,1.747832727859300661e+00,0.000000000000000000e+00,3.540568828582763672e+00
8.000000000000000167e-03,-4.491282038557460263e-03,9.310117405265449370e-03,-1.156014301175352532e+00,2.396378496188732665e+00,0.000000000000000000e+00,3.303881883621215820e+00
1.000000000000000021e-02,-7.094816672373180019e-03,1.470721131331746701e-02,-1.447428057913654920e+00,3.000530560210128428e+00,0.000000000000000000e+00,2.777953147888183594e+00
1.200000000000000025e-02,-1.023401472681684764e-02,2.121488465421047381e-02,-1.691653330774149699e+00,3.506908868850707517e+00,0.000000000000000000e+00,3.767116069793701172e+00
1.400000000000000029e-02,-1.394844775745650821e-02,2.891526133977489685e-02,-2.022622816620136987e+00,4.193152564910694657e+00,0.000000000000000000e+00,2.825407505035400391e+00
1.600000000000000033e-02,-1.824048416924973007e-02,3.781336907253863427e-02,-2.269227433260695204e+00,4.704580964376599006e+00,0.000000000000000000e+00,3.013262271881103516e+00
1.800000000000000211e-02,-2.304114781083622596e-02,4.776636787631247799e-02,-2.531207476856069505e+00,5.247957426982782003e+00,0.000000000000000000e+00,2.364384651184082031e+00
2.000000000000000389e-02,-2.830698468278709801e-02,5.868434440003435920e-02,-2.734374290812964237e+00,5.669505541537035676e+00,0.000000000000000000e+00,3.119786262512207031e+00
2.200000000000000566e-02,-3.404421435164732557e-02,7.058037780087580981e-02,-3.002531479127707570e+00,6.225874473576046064e+00,0.000000000000000000e+00,3.238104581832885742e+00
2.400000000000000744e-02,-4.032612448346371836e-02,8.360660552870653739e-02,-3.278987999031342415e+00,6.799564371783122674e+00,0.000000000000000000e+00,3.071283817291259766e+00
2.600000000000000921e-02,-4.714378874224011556e-02,9.774477384179797168e-02,-3.538225138543923176e+00,7.337692449517859039e+00,0.000000000000000000e+00,3.233317852020263672e+00
2.800000000000001099e-02,-5.449130133500393325e-02,1.129829260564224613e-01,-3.808750463461397118e+00,7.899373785674637993e+00,0.000000000000000000e+00,2.135910987854003906e+00
3.000000000000001277e-02,-6.228039968421717615e-02,1.291384077876995551e-01,-3.979828218370998982e+00,8.255058316403689034e+00,0.000000000000000000e+00,3.188549995422363281e+00
3.200000000000001454e-02,-7.050029401629026582e-02,1.461891988591419445e-01,-4.239379922106004450e+00,8.794343721092072741e+00,0.000000000000000000e+00,3.253555297851562500e+00
3.400000000000001632e-02,-7.924064027176465352e-02,1.643215662470863814e-01,-4.500177849124243679e+00,9.336426799012926381e+00,0.000000000000000000e+00,2.534734725952148438e+00
3.600000000000001810e-02,-8.843544681714408939e-02,1.833991390669742483e-01,-4.693846864663692386e+00,9.739563953449460243e+00,0.000000000000000000e+00,3.175742149353027344e+00
3.800000000000001987e-02,-9.806793441549063739e-02,2.033876123694512705e-01,-4.937676925815549289e+00,1.024695665228051311e+01,0.000000000000000000e+00,2.308994531631469727e+00
4.000000000000002165e-02,-1.081079371646548326e-01,2.242249660043768855e-01,-5.101428252766160298e+00,1.058858096321347020e+01,0.000000000000000000e+00,2.628495693206787109e+00
4.200000000000002343e-02,-1.184970835368126668e-01,2.457907243599858071e-01,-5.286691180976146320e+00,1.097509832652393591e+01,0.000000000000000000e+00,2.820193290710449219e+00
4.400000000000002520e-02,-1.292666108431305139e-01,2.681502678111797322e-01,-5.481690818329791881e+00,1.138212574066866090e+01,0.000000000000000000e+00,3.377927541732788086e+00
4.600000000000002698e-02,-1.404657283680625091e-01,2.914063267576633698e-01,-5.716055287290409126e+00,1.187115375259923056e+01,0.000000000000000000e+00,2.506045818328857422e+00
4.800000000000002875e-02,-1.520529587522202464e-01,3.154736212220346503e-01,-5.869955452985935906e+00,1.219367320653433850e+01,0.000000000000000000e+00,3.213998079299926758e+00
5.000000000000003053e-02,-1.639985558383435238e-01,3.402912402843070172e-01,-6.074148991790578656e+00,1.262092286814119291e+01,0.000000000000000000e+00,3.033723831176757812e+00
5.200000000000003231e-02,-1.763288278976638812e-01,3.659146144296487324e-01,-6.254613833907894715e+00,1.299939682424676413e+01,0.000000000000000000e+00,2.787698507308959961e+00
5.400000000000003408e-02,-1.889911854768120680e-01,3.922355552233156017e-01,-6.406265596740968071e+00,1.331855546932141543e+01,0.000000000000000000e+00,2.623395919799804688e+00
5.600000000000003586e-02,-2.019349462953943797e-01,4.191498444449084371e-01,-6.536044748798100379e+00,1.359280429573239068e+01,0.000000000000000000e+00,2.022786617279052734e+00
5.800000000000003764e-02,-2.150828592382105497e-01,4.464981158421920671e-01,-6.610642225935447591e+00,1.375299822713706988e+01,0.000000000000000000e+00,2.981843948364257812e+00
6.000000000000003941e-02,-2.284459991269303381e-01,4.743043295838589857e-01,-6.750885910136315005e+00,1.404996238646241480e+01,0.000000000000000000e+00,2.951492786407470703e+00
6.200000000000004119e-02,-2.420776444918567305e-01,5.026801609368040102e-01,-6.879150508670266895e+00,1.432262497547101177e+01,0.000000000000000000e+00,1.722869873046875000e+00
6.400000000000004297e-02,-2.558653258702530686e-01,5.313931863758185603e-01,-6.907477211635355552e+00,1.438829166519477276e+01,0.000000000000000000e+00,1.700146794319152832e+00
6.600000000000004474e-02,-2.697017779566670548e-01,5.602216515945612763e-01,-6.927977320993266908e+00,1.443818166278294690e+01,0.000000000000000000e+00,2.053381204605102539e+00
6.800000000000004652e-02,-2.835985155164542637e-01,5.891904587219319867e-01,-6.967649891780662408e+00,1.452840662316919662e+01,0.000000000000000000e+00,1.633873581886291504e+00
7.000000000000004829e-02,-2.975387035849490491e-01,6.182656446146727047e-01,-6.971669493169254217e+00,1.454505550273186820e+01,0.000000000000000000e+00,1.323338150978088379e+00
7.200000000000005007e-02,-3.114605452991255907e-01,6.473197649195977510e-01,-6.949502121041699176e+00,1.450774784795459738e+01,0.000000000000000000e+00,1.298521757125854492e+00
7.400000000000005185e-02,-3.253324779031000480e-01,6.762881366378677983e-01,-6.921828132727324778e+00,1.445944717953069691e+01,0.000000000000000000e+00,2.921016693115234375e+00
7.600000000000005362e-02,-3.392523359457465526e-01,7.053752065175540320e-01,-6.996736164158524396e+00,1.462504358931713888e+01,0.000000000000000000e+00,1.886875629425048828e+00
7.800000000000005540e-02,-3.532476936589194483e-01,7.346395019109503988e-01,-6.997851850865289158e+00,1.463774183830314435e+01,0.000000000000000000e+00,2.077426433563232422e+00
8.000000000000005718e-02,-3.672527938511646606e-01,7.639453849465234203e-01,-7.006445365651872592e+00,1.466656725671327166e+01,0.000000000000000000e+00,2.664488554000854492e+00
8.200000000000005895e-02,-3.813066174645341477e-01,7.933751824427478505e-01,-7.046362256650124500e+00,1.476122824863740135e+01,0.000000000000000000e+00,1.119107604026794434e+00
8.400000000000006073e-02,-3.953409253764531006e-01,8.227880276148926697e-01,-6.987674475968322696e+00,1.465112936712589864e+01,0.000000000000000000e+00,5.272001028060913086e-01
8.600000000000006251e-02,-4.092213302321862090e-01,8.519050167038333399e-01,-6.892759113053514852e+00,1.446598196134201864e+01,0.000000000000000000e+00,1.940908432006835938e+00
8.800000000000006428e-02,-4.229939171922635910e-01,8.808230679087930559e-01,-6.879290050948146273e+00,1.445104679915220736e+01,0.000000000000000000e+00,2.160912752151489258e+00
9.000000000000006606e-02,-4.367488804966879745e-01,9.097312738842254776e-01,-6.875087865137068377e+00,1.445604452783874549e+01,0.000000000000000000e+00,2.982264757156372070e+00
9.200000000000006783e-02,-4.505375001696802495e-01,9.387378847034113516e-01,-6.912653377339367466e+00,1.454886442358228749e+01,0.000000000000000000e+00,1.973122358322143555e+00
9.400000000000006961e-02,-4.643414055937154505e-01,9.678060001214525698e-01,-6.890828355033156605e+00,1.451847259805388823e+01,0.000000000000000000e+00,3.078532218933105469e+00
9.600000000000007139e-02,-4.781577840368837484e-01,9.969311920616009681e-01,-6.924729400380498667e+00,1.460514545599632363e+01,0.000000000000000000e+00,2.145279645919799805e+00
9.800000000000007316e-02,-4.919887474402000471e-01,1.026119377931923315e+00,-6.905820404311042715e+00,1.458229253168329009e+01,0.000000000000000000e+00,2.120926856994628906e+00
1.000000000000000749e-01,-5.057782491430674598e-01,1.055254944978910148e+00,-6.883312872454432352e+00,1.455262235931439996e+01,0.000000000000000000e+00,2.581619024276733398e+00
1.020000000000000767e-01,-5.195434564181929948e-01,1.084375231795428274e+00,-6.881390591026554482e+00,1.456674559657012580e+01,0.000000000000000000e+00,2.298928499221801758e+00
1.040000000000000785e-01,-5.332881418274070251e-01,1.113489678463388532e+00,-6.862928268895888806e+00,1.454706343636138932e+01,0.000000000000000000e+00,3.383746147155761719e+00
1.060000000000000803e-01,-5.470453205465235502e-01,1.142669040810444292e+00,-6.893537084454638197e+00,1.463097309953329628e+01,0.000000000000000000e+00,2.441304922103881836e+00
1.080000000000000820e-01,-5.608156860610608030e-01,1.171916594784526033e+00,-6.876476113015893787e+00,1.461598467555099212e+01,0.000000000000000000e+00,2.813225984573364258e+00
