Wall time,Step,Value
1742629739.4500062,100000,161354.28125
1742629777.2623386,250000,156901.09375
1742629788.036823,300000,1316761.25
1742629809.7571924,400000,875342.25
1742629879.4305305,700000,500846.03125
1742629906.7962644,800000,344456.78125
1742629928.2061477,900000,696772.9375
1742629955.581553,1000000,312313.3125
1742629998.100211,1200000,152089.8125
1742630014.9509828,1250000,478147.3125
1742630025.6230934,1300000,88357.03125
1742630046.6865022,1400000,90265.6484375
1742630074.3459566,1500000,124110.953125
1742630095.6336358,1600000,58364.3671875
1742630116.9467175,1700000,72203.6484375
1742630133.6263762,1750000,95728.9140625
1742630144.2256515,1800000,66607.359375
1742630165.3801086,1900000,181635.40625
1742630192.984769,2000000,201773.46875
1742630237.5538883,2200000,475091.5625
1742630255.2581415,2250000,210144.0625
1742630266.799078,2300000,1129481.0
1742630289.3421464,2400000,381434.4375
1742630317.231461,2500000,1324188.125
1742630339.7479126,2600000,536279.125
1742630362.4473202,2700000,571055.125
1742630379.9537935,2750000,752743.0625
1742630391.4312565,2800000,934168.75
1742630413.3721073,2900000,1351106.75
1742630464.7062867,3100000,719447.875
1742630487.4514053,3200000,591150.25
1742630505.0230353,3250000,1533675.5
1742630516.4867277,3300000,853816.75
1742630538.8500953,3400000,1163654.0
1742630591.2390976,3600000,886184.4375
1742630614.278819,3700000,1262203.0
1742630665.743593,3900000,646917.25
1742630694.8561993,4000000,863062.75
1742630717.2668726,4100000,445519.21875
1742630739.8168907,4200000,737584.125
1742630757.4983282,4250000,1041225.1875
1742630769.1195781,4300000,627461.4375
1742630791.9130068,4400000,489289.75
1742630820.8843157,4500000,459615.625
1742630843.8322012,4600000,457960.4375
1742630866.9448023,4700000,420962.09375
1742630895.7142222,4800000,478815.0
1742630918.646205,4900000,488366.65625
1742630971.2984889,5100000,532282.375
1742630994.4649024,5200000,1293637.5
1742631011.9392445,5250000,658822.5625
1742631023.5374618,5300000,418720.8125
1742631075.7640314,5500000,467661.1875
1742631098.673785,5600000,352432.4375
1742631121.744913,5700000,540797.75
1742631139.3728678,5750000,610539.5625
1742631173.9591568,5900000,404659.0
1742631202.7892244,6000000,301558.46875
1742631225.7144246,6100000,504681.46875
1742631249.0172546,6200000,805603.375
1742631266.964271,6250000,962372.375
1742631278.8013117,6300000,636110.25
1742631301.569501,6400000,668697.75
1742631331.2228692,6500000,873430.125
1742631354.1512425,6600000,863276.5
1742631377.2785063,6700000,1129224.5
1742631395.1683426,6750000,439115.96875
1742631406.8535478,6800000,475390.5
1742631430.0553076,6900000,579224.1875
1742631459.395248,7000000,592563.3125
1742631482.7349243,7100000,458137.4375
1742631505.5102973,7200000,438902.5625
1742631522.919238,7250000,690240.1875
1742631534.5397658,7300000,546988.8125
1742631556.6151648,7400000,304831.625
1742631585.7254229,7500000,501545.5
1742631608.0216863,7600000,637366.75
1742631647.8713233,7750000,642126.125
1742631682.3667483,7900000,792663.875
1742631711.3758085,8000000,565265.75
1742631734.5902414,8100000,592295.6875
1742631786.7098043,8300000,479589.96875
1742631809.4128456,8400000,1188029.25
1742631838.5007095,8500000,759250.875
1742631884.4038064,8700000,1365956.625
1742631902.203064,8750000,389892.3125
