Wall time,Step,Value
1743331905.4759364,100000,-892700.6875
1743331944.25304,200000,-892730.875
1743332002.5982816,300000,-891886.1875
1743332041.3899202,400000,-908522.5625
1743332101.323914,500000,-885631.3125
1743332142.1729827,600000,-424805.25
1743332180.5246086,700000,-501806.09375
1743332238.6565013,800000,-750228.4375
1743332276.9637372,900000,-829913.3125
1743332335.0750737,1000000,-821298.5625
1743332373.374475,1100000,-801661.1875
1743332411.1864977,1200000,-815294.5
1743332467.84737,1300000,-811371.0
1743332505.6319554,1400000,-799932.1875
1743332564.6361203,1500000,-811569.125
1743332604.422723,1600000,-818952.5625
1743332643.6501987,1700000,-805235.3125
1743332705.944524,1800000,-781427.8125
1743332746.1790476,1900000,-768802.25
1743332807.3839655,2000000,-759418.8125
1743332847.1402552,2100000,-676886.1875
1743332887.1967049,2200000,-849395.25
1743332948.752827,2300000,-877657.5625
1743332989.1214395,2400000,-869185.125
1743333050.2780704,2500000,-915944.9375
1743333090.2527168,2600000,-891260.75
1743333130.370936,2700000,-772158.5
1743333190.4174383,2800000,-766681.6875
1743333230.238545,2900000,-767756.875
1743333292.548026,3000000,-764142.5
1743333332.8634777,3100000,-760253.625
1743333372.979278,3200000,-763627.25
1743333433.6166484,3300000,-764690.25
1743333472.689021,3400000,-819594.5625
1743333530.3882475,3500000,-829475.3125
1743333569.3696492,3600000,-773225.5
1743333609.050639,3700000,-767724.1875
1743333668.938749,3800000,-758372.125
1743333708.2212,3900000,-763582.9375
1743333766.4975193,4000000,-751266.625
1743333806.016909,4100000,-747339.875
1743333846.1123495,4200000,-762790.125
1743333908.201055,4300000,-766320.4375
1743333948.439067,4400000,-770535.75
1743334006.836886,4500000,-761760.5
1743334045.8677113,4600000,-756518.0625
1743334085.2512481,4700000,-720384.8125
1743334145.9691505,4800000,-640180.375
1743334187.2639966,4900000,-217377.015625
1743334249.7007732,5000000,-680330.625
1743334291.4195673,5100000,-567574.0
1743334334.1037621,5200000,-429690.8125
1743334398.9182315,5300000,-246775.8125
1743334440.7362764,5400000,-671696.375
1743334504.6348567,5500000,-204216.09375
1743334547.2433054,5600000,-173968.40625
1743334590.306478,5700000,-161419.21875
1743334653.758753,5800000,-169077.296875
1743334694.972819,5900000,-401219.25
1743334758.15309,6000000,-292406.78125
1743334799.583977,6100000,-144920.125
1743334841.4015539,6200000,-250143.34375
1743334904.0285752,6300000,-280974.65625
1743334945.3637104,6400000,-188743.984375
1743335007.3637393,6500000,-186654.921875
1743335048.1862292,6600000,-189148.0625
1743335089.6384149,6700000,-207137.75
1743335151.8160455,6800000,-205142.734375
1743335193.238894,6900000,-171470.203125
1743335256.4677043,7000000,-218443.453125
1743335298.0891106,7100000,-199486.3125
1743335340.110451,7200000,-172041.375
1743335403.0750709,7300000,-238630.734375
1743335444.8665504,7400000,-166184.015625
1743335507.1833818,7500000,-252188.84375
1743335548.2291312,7600000,-274892.28125
1743335589.4881647,7700000,-276342.96875
1743335652.378456,7800000,-231353.765625
1743335693.7010221,7900000,-167929.359375
1743335756.9188135,8000000,-137827.4375
1743335798.7514017,8100000,-131044.234375
1743335840.8021297,8200000,-157184.390625
1743335903.9433262,8300000,-148236.15625
1743335945.9136636,8400000,-141495.828125
1743336008.6569736,8500000,-144559.40625
1743336050.3074443,8600000,-82756.7578125
1743336092.1207879,8700000,-90816.375
1743336154.8442795,8800000,-63259.5390625
1743336196.311739,8900000,-70280.5546875
1743336259.709479,9000000,-24058.107421875
1743336301.9336832,9100000,-2779.06640625
1743336343.8775284,9200000,-35531.83984375
1743336407.4222913,9300000,-24372.291015625
1743336449.1692114,9400000,-36445.41796875
1743336512.6010535,9500000,-133236.078125
1743336554.8725612,9600000,-26379.373046875
1743336597.0464654,9700000,-85728.15625
1743336660.1469312,9800000,-30464.5859375
1743336701.8527527,9900000,-23612.900390625
1743336765.1099293,10000000,-87869.96875
1743336806.976959,10100000,-25059.421875
1743336849.0341468,10200000,-50576.63671875
1743336911.0218923,10300000,-42389.20703125
1743336953.3068972,10400000,-1518.4124755859375
1743337015.5826814,10500000,4100.14697265625
1743337058.2325063,10600000,33668.30078125
1743337100.226116,10700000,-63251.234375
1743337163.397143,10800000,-21226.67578125
1743337204.7111526,10900000,-21550.33984375
1743337270.338809,11000000,-9037.7470703125
1743337312.208291,11100000,-5155.892578125
1743337354.2796328,11200000,-569573.875
1743337416.8387105,11300000,-21978.34765625
1743337459.1584575,11400000,-4009.16552734375
1743337522.9572341,11500000,-17311.857421875
1743337565.6850498,11600000,-14731.6005859375
1743337607.9243429,11700000,5146.5830078125
1743337671.649159,11800000,-18681.56640625
1743337713.658234,11900000,-22860.646484375
1743337780.8003125,12000000,-13389.2001953125
1743337823.3620338,12100000,-12969.6455078125
1743337865.262912,12200000,-36893.03515625
1743337930.08494,12300000,-48044.7734375
1743337972.3915246,12400000,-22368.78515625
1743338038.041918,12500000,-34513.36328125
1743338080.4456525,12600000,-9677.2998046875
1743338122.763048,12700000,-25174.9453125
1743338188.1298144,12800000,-4082.140625
1743338230.0371304,12900000,-27026.9921875
1743338292.8683276,13000000,-13147.150390625
1743338334.5342567,13100000,-75857.2421875
1743338376.9407263,13200000,36243.12890625
1743338438.2288735,13300000,-377279.0625
1743338478.6842358,13400000,-339621.8125
1743338541.8107653,13500000,-144793.625
1743338583.788,13600000,-171348.078125
1743338625.9260163,13700000,-67262.90625
1743338687.326908,13800000,-548103.1875
1743338727.076864,13900000,-824989.4375
1743338788.6511645,14000000,-662010.9375
1743338831.095672,14100000,42317.49609375
1743338873.7241135,14200000,42177.4296875
1743338937.7629395,14300000,-4055.502197265625
1743338980.6804137,14400000,-4522.65869140625
1743339045.1212833,14500000,-13579.8681640625
1743339087.4911144,14600000,-6660.14453125
1743339130.2622626,14700000,-8546.2568359375
1743339194.505982,14800000,-5372.45166015625
1743339236.7385337,14900000,-5233.8291015625
1743339302.1443968,15000000,31703.810546875
1743339344.6156566,15100000,25562.0625
1743339386.222794,15200000,13699.7412109375
1743339449.5230722,15300000,30462.798828125
1743339491.0819614,15400000,16847.951171875
1743339553.3739133,15500000,33873.17578125
1743339594.821297,15600000,3362.82958984375
1743339636.2343931,15700000,-234159.75
1743339698.2359424,15800000,47622.6328125
1743339739.4348626,15900000,38247.16796875
1743339800.9012067,16000000,43686.91796875
1743339842.4989588,16100000,34718.25390625
1743339883.8790984,16200000,42687.36328125
1743339945.762179,16300000,31674.4609375
1743339987.3180175,16400000,36876.35546875
1743340049.6162348,16500000,28015.380859375
1743340090.9126008,16600000,36416.33203125
1743340132.7919743,16700000,-10876.3154296875
1743340197.4919481,16800000,433.57733154296875
1743340239.523152,16900000,-22858.052734375
1743340304.4307294,17000000,-36568.4375
1743340346.4533885,17100000,-9949.5029296875
1743340387.9105332,17200000,4139.93115234375
1743340452.3537774,17300000,5883.6669921875
1743340494.9208848,17400000,3950.798828125
1743340559.148872,17500000,4716.396484375
1743340600.7938323,17600000,41397.29296875
1743340641.9151757,17700000,47936.19921875
1743340704.5344057,17800000,75182.46875
1743340746.244625,17900000,7710.384765625
1743340809.160603,18000000,35834.06640625
1743340850.5645337,18100000,34202.4140625
1743340892.9737828,18200000,-4600.62109375
1743340955.0261526,18300000,4049.24560546875
1743340996.9213793,18400000,34543.3984375
1743341059.3492687,18500000,34174.1328125
1743341101.575025,18600000,14593.310546875
1743341142.6685,18700000,-7033.00146484375
1743341206.0994606,18800000,-902.8920288085938
1743341247.7857752,18900000,9087.2041015625
1743341310.7656548,19000000,19822.390625
1743341351.7689552,19100000,36153.09765625
1743341393.48015,19200000,36499.48828125
1743341455.272385,19300000,54409.35546875
1743341497.5250552,19400000,106780.0859375
1743341560.4783018,19500000,206322.53125
1743341601.3891938,19600000,-29560.84765625
1743341644.0072968,19700000,104774.21875
1743341705.8025823,19800000,-43091.15625
1743341748.312427,19900000,132634.140625
1743341809.0309484,20000000,-72258.6484375
1743341850.8361871,20100000,17556.439453125
1743341892.345884,20200000,-34155.31640625
1743341953.9007301,20300000,36762.203125
1743341995.8119752,20400000,-13635.568359375
1743342057.4448009,20500000,1503.584228515625
1743342099.140718,20600000,-16521.33984375
1743342141.218534,20700000,-17505.25390625
1743342202.752787,20800000,-16558.5078125
1743342244.3762867,20900000,1691.580322265625
1743342304.4822814,21000000,-4737.86865234375
1743342345.7610416,21100000,-10215.3798828125
1743342387.0501075,21200000,-490977.34375
1743342450.0455186,21300000,-58769.3671875
1743342492.3119624,21400000,86843.171875
1743342554.867069,21500000,-60588.94140625
1743342596.5557313,21600000,93085.8359375
1743342638.2832458,21700000,-31255.181640625
1743342700.7162704,21800000,123350.5078125
1743342742.6246889,21900000,-25122.39453125
1743342804.460076,22000000,84112.1875
1743342846.213867,22100000,120914.7421875
1743342888.5365512,22200000,127246.859375
1743342951.6096768,22300000,58770.5546875
1743342993.8613355,22400000,202967.625
1743343056.882676,22500000,2383.757568359375
1743343099.1715496,22600000,-26398.451171875
1743343140.4344382,22700000,-134649.640625
1743343204.0645843,22800000,61103.0546875
1743343246.1347253,22900000,169329.515625
1743343308.8393013,23000000,30160.716796875
1743343351.2214174,23100000,226927.6875
1743343393.7849948,23200000,367961.5
1743343457.788345,23300000,342025.75
1743343500.4392834,23400000,372402.78125
1743343563.891453,23500000,540623.0
1743343606.462844,23600000,313242.4375
1743343648.881067,23700000,300472.34375
1743343710.8718057,23800000,336515.71875
1743343753.5073042,23900000,289441.25
1743343815.9409738,24000000,267098.1875
1743343857.8018384,24100000,247015.25
1743343900.1205344,24200000,325785.0625
1743343962.977461,24300000,453076.90625
1743344005.827278,24400000,402786.09375
1743344069.836186,24500000,404242.34375
1743344112.940502,24600000,585735.875
1743344155.431628,24700000,231836.875
1743344217.9697456,24800000,59474.0703125
1743344259.8865817,24900000,94766.0078125
1743344323.9782953,25000000,57357.83984375
1743344366.8107018,25100000,187265.671875
1743344409.4200292,25200000,282240.0
1743344474.0951955,25300000,349138.4375
1743344516.6652317,25400000,646525.9375
1743344580.555307,25500000,1288374.25
1743344623.5006707,25600000,161630.640625
