Wall time,Step,Value
1742629739.4499989,100000,3704.91015625
1742629777.2623298,250000,9644.9765625
1742629788.0368156,300000,10830.1953125
1742629809.7571847,400000,12690.90625
1742629879.4305234,700000,21828.11328125
1742629906.7962549,800000,25670.2890625
1742629928.2061398,900000,27666.7421875
1742629955.5815442,1000000,30024.34765625
1742629998.1001997,1200000,35243.90625
1742630014.9509735,1250000,36829.53125
1742630025.6230855,1300000,38663.84765625
1742630046.6864936,1400000,42236.25390625
1742630074.3459463,1500000,44306.4609375
1742630095.6336286,1600000,46348.94140625
1742630116.9467106,1700000,47949.453125
1742630133.626368,1750000,48649.35546875
1742630144.2256444,1800000,49225.6484375
1742630165.3801017,1900000,50374.9453125
1742630192.9847608,2000000,51534.05859375
1742630237.5538793,2200000,50550.359375
1742630255.2581332,2250000,51019.484375
1742630266.7990704,2300000,50943.59375
1742630289.3421395,2400000,50454.5625
1742630317.2314527,2500000,49233.890625
1742630339.7479038,2600000,47341.7734375
1742630362.447311,2700000,46727.96875
1742630379.9537852,2750000,42755.26953125
1742630391.4312499,2800000,45008.94921875
1742630413.3721,2900000,43658.80078125
1742630464.7062795,3100000,38563.46484375
1742630487.451398,3200000,37609.0
1742630505.0230277,3250000,37860.8828125
1742630516.4867206,3300000,38130.625
1742630538.8500881,3400000,35182.421875
1742630591.23909,3600000,31087.15234375
1742630614.2788122,3700000,31489.66015625
1742630665.743586,3900000,27834.8125
1742630694.8561912,4000000,27757.65234375
1742630717.2668657,4100000,26804.36328125
1742630739.8168817,4200000,26918.349609375
1742630757.4983206,4250000,24758.64453125
1742630769.1195707,4300000,26627.78515625
1742630791.9129999,4400000,25862.453125
1742630820.8843079,4500000,24470.9375
1742630843.832194,4600000,25114.01953125
1742630866.9447951,4700000,25294.1953125
1742630895.7142148,4800000,25036.1328125
1742630918.646198,4900000,24434.234375
1742630971.2984817,5100000,24026.8046875
1742630994.4648948,5200000,20796.294921875
1742631011.939237,5250000,19735.890625
1742631023.5374544,5300000,21868.9765625
1742631075.7640238,5500000,19730.23046875
1742631098.6737778,5600000,22675.40234375
1742631121.744906,5700000,21380.515625
1742631139.37286,5750000,19836.625
1742631173.9591498,5900000,19655.66015625
1742631202.7892163,6000000,18510.142578125
1742631225.7144177,6100000,18434.33984375
1742631249.0172474,6200000,18289.669921875
1742631266.9642637,6250000,16855.615234375
1742631278.8013046,6300000,17367.546875
1742631301.569494,6400000,15946.791015625
1742631331.2228603,6500000,16848.984375
1742631354.1512353,6600000,16315.3564453125
1742631377.2784991,6700000,16694.91015625
1742631395.168335,6750000,17205.318359375
1742631406.8535404,6800000,15947.955078125
1742631430.0553,6900000,15774.14453125
1742631459.395239,7000000,15352.921875
1742631482.7349172,7100000,15640.5234375
1742631505.5102901,7200000,14092.9296875
1742631522.9192297,7250000,15091.30859375
1742631534.539759,7300000,15471.8134765625
1742631556.6151576,7400000,17461.37890625
1742631585.7254152,7500000,20388.435546875
1742631608.0216794,7600000,21475.73046875
1742631647.871316,7750000,25166.4296875
1742631682.3667412,7900000,25211.232421875
1742631711.3757923,8000000,21825.283203125
1742631734.5902343,8100000,26598.046875
1742631786.7097974,8300000,24270.03125
1742631809.4128387,8400000,21810.703125
1742631838.5007021,8500000,20694.99609375
1742631884.4037993,8700000,16252.427734375
1742631902.2030559,8750000,12619.806640625
1742631913.9013972,8800000,14633.3701171875
1742631936.4081461,8900000,12567.6796875
1742631965.6304834,9000000,14009.8369140625
1742631988.4830825,9100000,14265.009765625
1742632011.5013533,9200000,14362.1005859375
1742632029.273452,9250000,13087.837890625
1742632040.9155996,9300000,14249.1669921875
1742632063.754064,9400000,13457.939453125
1742632117.6925373,9600000,14764.8720703125
1742632140.6482177,9700000,14880.998046875
1742632158.3520024,9750000,14254.96484375
1742632170.1252232,9800000,14187.525390625
1742632193.0539265,9900000,14677.13671875
1742632221.684777,10000000,15203.2158203125
1742632244.2078738,10100000,15160.482421875
1742632266.705788,10200000,16612.810546875
1742632284.575261,10250000,18227.068359375
1742632296.1631393,10300000,16635.40234375
1742632347.2917671,10500000,15925.6591796875
1742632370.0648556,10600000,13580.2236328125
1742632393.228394,10700000,15142.2724609375
1742632410.8126717,10750000,14556.4140625
1742632422.1737974,10800000,15621.724609375
1742632444.7866044,10900000,15027.892578125
1742632473.8930442,11000000,15652.509765625
1742632496.9001865,11100000,14770.3203125
1742632537.3697214,11250000,15403.068359375
1742632572.0296948,11400000,16490.6640625
1742632602.041955,11500000,15894.546875
1742632625.283786,11600000,16837.28515625
1742632648.6901627,11700000,15303.181640625
1742632666.3948863,11750000,15161.017578125
1742632677.839502,11800000,16754.025390625
1742632701.1908355,11900000,16151.16015625
1742632730.7847798,12000000,16525.8125
1742632754.3157525,12100000,16532.69140625
1742632777.5574396,12200000,18397.29296875
1742632795.6954045,12250000,19194.77734375
1742632807.6211493,12300000,18407.2109375
1742632830.90296,12400000,16737.88671875
1742632884.7819722,12600000,17120.66015625
1742632926.3760297,12750000,17319.06640625
1742632938.0506926,12800000,17512.828125
1742632961.865252,12900000,18230.72265625
1742633015.7442257,13100000,16537.5
1742633039.7529366,13200000,15960.57421875
1742633057.9057188,13250000,17648.37109375
1742633069.6339495,13300000,15836.3095703125
1742633093.5218735,13400000,17231.44921875
1742633124.376519,13500000,16975.89453125
1742633148.2695086,13600000,16826.7734375
1742633172.083077,13700000,18595.91796875
1742633190.5395734,13750000,17483.11328125
1742633203.2152505,13800000,18271.96484375
1742633227.891823,13900000,17877.2265625
1742633283.2136,14100000,17499.8203125
1742633307.7878234,14200000,17681.349609375
1742633326.9390454,14250000,18434.9375
1742633339.0563595,14300000,19045.140625
1742633362.7742066,14400000,17523.5234375
1742633393.3232949,14500000,17676.96484375
1742633417.472079,14600000,17823.24609375
1742633441.470406,14700000,18469.248046875
1742633460.2732882,14750000,17873.533203125
1742633472.5097759,14800000,18802.5859375
1742633496.5390527,14900000,18090.07421875
1742633550.246777,15100000,19377.87890625
1742633575.239008,15200000,19065.984375
1742633594.8138835,15250000,20109.24609375
1742633607.2706156,15300000,20820.45703125
1742633632.7664812,15400000,19954.50390625
1742633663.0760157,15500000,21743.296875
1742633687.127381,15600000,21598.48828125
1742633742.5642393,15800000,20904.20703125
1742633767.652593,15900000,22605.33984375
1742633799.0695662,16000000,23125.51171875
1742633823.804721,16100000,24025.505859375
1742633848.359237,16200000,25034.6484375
1742633866.545158,16250000,28250.0390625
1742633877.9563854,16300000,24159.1015625
1742633929.4458997,16500000,23430.337890625
1742633952.7103982,16600000,25670.919921875
1742633976.7987838,16700000,24866.05078125
1742633995.2814384,16750000,24029.92578125
1742634028.9618092,16900000,22291.85546875
1742634057.3442564,17000000,21815.544921875
1742634079.6359472,17100000,23623.068359375
1742634101.9387581,17200000,24565.5859375
1742634119.5917428,17250000,22098.486328125
1742634131.0243464,17300000,22228.0078125
1742634153.5408583,17400000,21103.88671875
1742634182.857323,17500000,18285.8046875
1742634204.895851,17600000,18585.5625
1742634226.874831,17700000,20233.2734375
1742634255.1117778,17800000,18663.5546875
1742634277.3218067,17900000,20696.74609375
1742634305.800718,18000000,19677.98046875
1742634328.471066,18100000,20191.01171875
1742634367.6511965,18250000,17780.25390625
1742634379.8630335,18300000,17987.69921875
1742634404.8792071,18400000,18022.4765625
1742634438.441881,18500000,18028.26953125
1742634461.7884145,18600000,18081.171875
1742634483.8992043,18700000,17198.34375
1742634501.3050714,18750000,16796.296875
1742634512.5983949,18800000,17794.5703125
1742634535.1762567,18900000,16491.822265625
1742634609.7057414,19200000,16460.1796875
1742634626.867061,19250000,15858.6123046875
1742634637.9095936,19300000,17614.630859375
1742634659.9559164,19400000,17961.556640625
1742634688.256484,19500000,18077.6875
1742634711.3158195,19600000,17796.10546875
1742634733.6504416,19700000,18361.09765625
1742634750.724463,19750000,20376.09765625
1742634762.0209026,19800000,18346.09375
1742634784.059573,19900000,21166.076171875
1742634814.6258066,20000000,22096.3515625
1742634862.24149,20200000,19664.724609375
1742634879.9742835,20250000,21542.619140625
1742634891.4225416,20300000,21053.3359375
1742634913.8238533,20400000,20498.92578125
1742634943.165605,20500000,21043.34375
1742634965.3610897,20600000,20227.01953125
1742634987.2810476,20700000,21252.6015625
1742635004.4516227,20750000,21202.380859375
1742635015.9169645,20800000,21151.48828125
1742635090.4746695,21100000,21650.4375
1742635112.8783488,21200000,21070.0625
1742635130.372153,21250000,20718.1875
1742635141.834141,21300000,20662.548828125
1742635193.4483435,21500000,21221.732421875
1742635215.4467585,21600000,22596.06640625
1742635238.1259217,21700000,21878.98828125
1742635255.8567271,21750000,23819.609375
1742635290.3326735,21900000,22892.734375
1742635318.9218106,22000000,22442.380859375
1742635364.6685348,22200000,23500.984375
1742635393.757997,22300000,23002.876953125
1742635416.0721707,22400000,23471.943359375
1742635467.2952638,22600000,23356.76953125
1742635490.3525286,22700000,22326.990234375
1742635519.337342,22800000,23626.35546875
1742635541.9738426,22900000,21509.916015625
1742635570.8000262,23000000,23598.599609375
1742635593.7713566,23100000,24251.671875
1742635633.8028347,23250000,24564.076171875
1742635644.844582,23300000,23428.705078125
1742635667.0746083,23400000,23653.609375
1742635695.4879918,23500000,24749.3203125
1742635717.5643175,23600000,24929.47265625
1742635739.5435998,23700000,23404.640625
1742635756.5127046,23750000,25514.6171875
1742635768.0384521,23800000,23999.953125
1742635791.0114737,23900000,23551.568359375
1742635819.4629078,24000000,24831.70703125
1742635842.6808658,24100000,22323.912109375
1742635865.2745616,24200000,22687.388671875
1742635882.3814836,24250000,24233.22265625
1742635893.3167427,24300000,21688.416015625
1742635915.3457534,24400000,20740.12109375
1742635966.7361145,24600000,19030.57421875
1742635988.9277635,24700000,20626.712890625
1742636006.5606103,24750000,22342.203125
1742636018.044805,24800000,18701.384765625
1742636040.9384997,24900000,21594.99609375
1742636069.1990106,25000000,21361.19140625
1742636091.6432748,25100000,21761.29296875
1742636114.9254236,25200000,21938.673828125
