time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.073567289755757992e+00
2.000000000000000042e-03,9.505649180819924701e-05,-1.970422799053992617e-04,9.505363706224570497e-02,-1.970365806664597097e-01,0.000000000000000000e+00,-1.026819310857926437e+00
4.000000000000000083e-03,3.760525067325638793e-04,-7.795205880652477737e-04,1.859339239772890284e-01,-3.854248493747939319e-01,0.000000000000000000e+00,-9.818584843936855044e-01
6.000000000000000125e-03,8.347664212835219800e-04,-1.730400100977284254e-03,2.727661435494527220e-01,-5.654270159139199725e-01,0.000000000000000000e+00,-9.386480242960197895e-01
8.000000000000000167e-03,1.463225107960948197e-03,-3.033166020987173271e-03,3.556734840221955629e-01,-7.373008457418374073e-01,0.000000000000000000e+00,-8.971421638370867813e-01
1.000000000000000021e-02,2.253698820551605989e-03,-4.671812775054701855e-03,4.347761204418522651e-01,-9.012977615913491114e-01,0.000000000000000000e+00,-8.572916421620796479e-01
1.200000000000000025e-02,3.198694767885490627e-03,-6.630830505271270020e-03,5.101908205427750920e-01,-1.057662031143854708e+00,0.000000000000000000e+00,-8.190459857101184404e-01
1.400000000000000029e-02,4.290950133826260809e-03,-8.895190419718637317e-03,5.820307840363245777e-01,-1.206630437532072220e+00,0.000000000000000000e+00,-7.823546274963626423e-01
1.600000000000000033e-02,5.523424900936366178e-03,-1.145032974281396700e-02,6.504056060788245830e-01,-1.348432206449403647e+00,0.000000000000000000e+00,-7.471675062825929858e-01
1.800000000000000211e-02,6.889294674579595108e-03,-1.428213667156976070e-02,7.154213134515128303e-01,-1.483289083343104942e+00,0.000000000000000000e+00,-7.134354019784470147e-01
2.000000000000000389e-02,8.381943624808952178e-03,-1.737693557987968207e-02,7.771804454899446934e-01,-1.611415502866410332e+00,0.000000000000000000e+00,-6.811101287622416400e-01
2.200000000000000566e-02,9.994957618940416774e-03,-2.072147262106175877e-02,8.357821632640468623e-01,-1.733018816506436854e+00,0.000000000000000000e+00,-6.501446489071697199e-01
2.400000000000000744e-02,1.172211759091980506e-02,-2.430290182356581105e-02,8.913223767016273946e-01,-1.848299557120477221e+00,0.000000000000000000e+00,-6.204931413416669983e-01
2.600000000000000921e-02,1.355739317653209715e-02,-2.810877173957280345e-02,9.438938828933378655e-01,-1.957451726445811113e+00,0.000000000000000000e+00,-5.921110437046535058e-01
2.800000000000001099e-02,1.549493663210905169e-02,-3.212701268274591876e-02,9.935865109375702220e-01,-2.060663096029659247e+00,0.000000000000000000e+00,-5.649550783716718039e-01
3.000000000000001277e-02,1.752907704643981782e-02,-3.634592457503501434e-02,1.040487270007007137e+00,-2.158115514756764775e+00,0.000000000000000000e+00,-5.389832683628247301e-01
3.200000000000001454e-02,1.965431484982395685e-02,-4.075416541058653891e-02,1.084680498182247321e+00,-2.249985217932120918e+00,0.000000000000000000e+00,-5.141549464977778205e-01
3.400000000000001632e-02,2.186531661989413525e-02,-4.534074033595451164e-02,1.126248010188420468e+00,-2.336443134091574336e+00,0.000000000000000000e+00,-4.904307597250268103e-01
3.600000000000001810e-02,2.415691018053522585e-02,-5.009499133903241863e-02,1.165269242592714916e+00,-2.417655186580311533e+00,0.000000000000000000e+00,-4.677726697269201650e-01
3.800000000000001987e-02,2.652407998766081673e-02,-5.500658753385932742e-02,1.201821395334321751e+00,-2.493782587582864529e+00,0.000000000000000000e+00,-4.461439504176899495e-01
4.000000000000002165e-02,2.896196279359568998e-02,-6.006551602432229353e-02,1.235979568698746256e+00,-2.564982122781306995e+00,0.000000000000000000e+00,-4.255091826601786753e-01
4.200000000000002343e-02,3.146584358022917055e-02,-6.526207332652460280e-02,1.267816895037185310e+00,-2.631406425204974475e+00,0.000000000000000000e+00,-4.058342463458132765e-01
4.400000000000002520e-02,3.403115174985916341e-02,-7.058685732703036397e-02,1.297404664682237030e+00,-2.693204237143301594e+00,0.000000000000000000e+00,-3.870863098659781398e-01
4.600000000000002698e-02,3.665345756167334018e-02,-7.603075975219300564e-02,1.324812445632512992e+00,-2.750520659241563859e+00,0.000000000000000000e+00,-3.692338169256564329e-01
4.800000000000002875e-02,3.932846880105953652e-02,-8.158495912222035740e-02,1.350108196676942818e+00,-2.803497386100170630e+00,0.000000000000000000e+00,-3.522464705973958332e-01
5.000000000000003053e-02,4.205202766836063644e-02,-8.724091416243714980e-02,1.373358373709137270e+00,-2.852272927860815432e+00,0.000000000000000000e+00,-3.329774966634637123e-01
5.200000000000003231e-02,4.481983350644384856e-02,-9.298978887578039643e-02,1.394353742575507482e+00,-2.896414213659696202e+00,0.000000000000000000e+00,-3.180446268293562473e-01
5.400000000000003408e-02,4.762775121235644088e-02,-9.882309172736193636e-02,1.413468943940086264e+00,-2.936698474932204928e+00,0.000000000000000000e+00,-3.038270789640243885e-01
5.600000000000003586e-02,5.047207700377306927e-02,-1.047332264544078850e-01,1.430760718161059764e+00,-2.973243876415211595e+00,0.000000000000000000e+00,-2.903085543191024076e-01
5.800000000000003764e-02,5.334922023578763522e-02,-1.107128323493221239e-01,1.446285459155583375e+00,-3.006167802257840638e+00,0.000000000000000000e+00,-2.774708016966975777e-01
6.000000000000003941e-02,5.625570250957657309e-02,-1.167547822886176173e-01,1.460099015221735907e+00,-3.035586444644018833e+00,0.000000000000000000e+00,-2.652951779963373946e-01
6.200000000000004119e-02,5.918815651609761475e-02,-1.228521802156982701e-01,1.472256623285676413e+00,-3.061614669088964291e+00,0.000000000000000000e+00,-2.537633801119449917e-01
6.400000000000004297e-02,6.214332480877676756e-02,-1.289983584797182170e-01,1.482812903685013950e+00,-3.084366005306747205e+00,0.000000000000000000e+00,-2.428578035383943678e-01
6.600000000000004474e-02,6.511805859359721949e-02,-1.351868752139537555e-01,1.491821882835372204e+00,-3.103952695953752450e+00,0.000000000000000000e+00,-2.325617050629305849e-01
6.800000000000004652e-02,6.810931657539615047e-02,-1.414115118342742505e-01,1.499337026824460128e+00,-3.120485768092528200e+00,0.000000000000000000e+00,-2.228592557782619332e-01
7.000000000000004829e-02,7.111416387291016883e-02,-1.476662706838375028e-01,1.505411276623421335e+00,-3.134075108068862914e+00,0.000000000000000000e+00,-2.137355307659735970e-01
7.200000000000005007e-02,7.412977100060848257e-02,-1.539453728200581295e-01,1.510097079723143221e+00,-3.144829529030756632e+00,0.000000000000000000e+00,-2.051764611999921939e-01
