time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.088840000000000030e+00
2.000000000000000042e-03,9.640877801867665374e-05,-1.998454294111755443e-04,9.640588262081313531e-02,-1.998396490126240488e-01,0.000000000000000000e+00,-1.039727097876006701e+00
4.000000000000000083e-03,3.812517665872939003e-04,-7.902981535179976185e-04,1.884285357977053543e-01,-3.905959648292087749e-01,0.000000000000000000e+00,-9.926544497325193728e-01
6.000000000000000125e-03,8.459095629273981039e-04,-1.753498899831790279e-03,2.762152321094157870e-01,-5.725767715635439181e-01,0.000000000000000000e+00,-9.475460360399390325e-01
8.000000000000000167e-03,1.482051825647415309e-03,-3.072192568195999431e-03,3.599077338939792314e-01,-7.460783637678096714e-01,0.000000000000000000e+00,-9.043368379426433012e-01
1.000000000000000021e-02,2.281627090220816542e-03,-4.729706911138904964e-03,4.396431366863510215e-01,-9.113872611686397729e-01,0.000000000000000000e+00,-8.629618413401097810e-01
1.200000000000000025e-02,3.236853340345563837e-03,-6.709932792482378380e-03,5.155537802521839019e-01,-1.068780029310037571e+00,0.000000000000000000e+00,-8.233580296721840774e-01
1.400000000000000029e-02,4.340208611951729654e-03,-8.997304522647324096e-03,5.877673690187028566e-01,-1.218523533190880803e+00,0.000000000000000000e+00,-7.854613894868157642e-01
1.600000000000000033e-02,5.584421599910859707e-03,-1.157678020667173360e-02,6.564068533451877796e-01,-1.360874694297314003e+00,0.000000000000000000e+00,-7.492148986108360109e-01
1.800000000000000211e-02,6.962462755525108613e-03,-1.443382311515654243e-02,7.215910381616653657e-01,-1.496081754720878232e+00,0.000000000000000000e+00,-7.145595573859901961e-01
2.000000000000000389e-02,8.467535822962255626e-03,-1.755438396951028435e-02,7.834344125547381132e-01,-1.624383925866323519e+00,0.000000000000000000e+00,-6.814393398320699458e-01
2.200000000000000566e-02,1.009306948480939020e-02,-2.092488345689080820e-02,8.420474286931665109e-01,-1.746011968200404718e+00,0.000000000000000000e+00,-6.498002508338892591e-01
2.400000000000000744e-02,1.183270949000740126e-02,-2.453219574789854487e-02,8.975367047670962384e-01,-1.861188613200925879e+00,0.000000000000000000e+00,-6.195892671019692655e-01
2.600000000000000921e-02,1.368031109899203041e-02,-2.836363267414535039e-02,9.500051388332051427e-01,-1.970128800420757331e+00,0.000000000000000000e+00,-5.907573813715409905e-01
2.800000000000001099e-02,1.562993202860880199e-02,-3.240692894381187045e-02,9.995522943712394914e-01,-2.073040477652138946e+00,0.000000000000000000e+00,-5.632545903399348575e-01
3.000000000000001277e-02,1.767582572518681949e-02,-3.665022803925220563e-02,1.046274342615998165e+00,-2.170124482257237641e+00,0.000000000000000000e+00,-5.370338964222964862e-01
3.200000000000001454e-02,1.981243487557465821e-02,-4.108206860957559076e-02,1.090264357936354900e+00,-2.261575154301245227e+00,0.000000000000000000e+00,-5.120482257551921546e-01
3.400000000000001632e-02,2.203438523411524463e-02,-4.569137151982027162e-02,1.131612338223790815e+00,-2.347580379661069472e+00,0.000000000000000000e+00,-4.882546796392376875e-01
3.600000000000001810e-02,2.433647986332344512e-02,-5.046742775941664982e-02,1.170405598019178095e+00,-2.428322405822865626e+00,0.000000000000000000e+00,-4.656092125888683930e-01
3.800000000000001987e-02,2.671369368623979085e-02,-5.539988699854002385e-02,1.206728686987973642e+00,-2.503977673822458616e+00,0.000000000000000000e+00,-4.440687503024335347e-01
4.000000000000002165e-02,2.916116805888612981e-02,-6.047874618806314828e-02,1.240663491459601309e+00,-2.574717029725636763e+00,0.000000000000000000e+00,-4.235953755746706961e-01
4.200000000000002343e-02,3.167420591076522407e-02,-6.569433933909743506e-02,1.272289700803233004e+00,-2.640706692473584472e+00,0.000000000000000000e+00,-4.041480325742208279e-01
4.400000000000002520e-02,3.424826708018952059e-02,-7.103732770864669421e-02,1.301684535946333598e+00,-2.702107692282926354e+00,0.000000000000000000e+00,-3.856896972628964804e-01
4.600000000000002698e-02,3.687896373508367520e-02,-7.649869016485481843e-02,1.328923106223115047e+00,-2.759076611621211317e+00,0.000000000000000000e+00,-3.681834588163982458e-01
4.800000000000002875e-02,3.956205615631081668e-02,-8.206971430633203113e-02,1.354078415092677012e+00,-2.811765598397614863e+00,0.000000000000000000e+00,-3.515922124166937501e-01
5.000000000000003053e-02,4.229344850076851431e-02,-8.774198754229536878e-02,1.377221334222921145e+00,-2.860322313652354786e+00,0.000000000000000000e+00,-3.358820434909473018e-01
5.200000000000003231e-02,4.506918480627637724e-02,-9.350738867684130207e-02,1.398420871151883516e+00,-2.904890487904715712e+00,0.000000000000000000e+00,-3.210199052080389692e-01
5.400000000000003408e-02,4.788544532226532424e-02,-9.935808017166333772e-02,1.417744227490937092e+00,-2.945610043378816378e+00,0.000000000000000000e+00,-3.069717851969869793e-01
5.600000000000003586e-02,5.073854279160174702e-02,-1.052865003106733949e-01,1.435256691951809715e+00,-2.982616873876249297e+00,0.000000000000000000e+00,-2.937076583560140897e-01
5.800000000000003764e-02,5.362491895022119398e-02,-1.112853558194643599e-01,1.451021965049896334e+00,-3.016043519583167409e+00,0.000000000000000000e+00,-2.811956495777205856e-01
6.000000000000003941e-02,5.654114115929692597e-02,-1.173476147629524957e-01,1.465101967132009353e+00,-3.046018770844186818e+00,0.000000000000000000e+00,-2.694055835184748227e-01
6.200000000000004119e-02,5.948389896264242444e-02,-1.234664992915377041e-01,1.477556955556177387e+00,-3.072667912852392824e+00,0.000000000000000000e+00,-2.583096025930460837e-01
6.400000000000004297e-02,6.245000092938376990e-02,-1.296354789822282416e-01,1.488445692802940590e+00,-3.096113075967875439e+00,0.000000000000000000e+00,-2.478785683651369975e-01
6.600000000000004474e-02,6.543637151507411542e-02,-1.358482642216404801e-01,1.497825296980194842e+00,-3.116472927629949652e+00,0.000000000000000000e+00,-2.380856092915560884e-01
6.800000000000004652e-02,6.844004793275632048e-02,-1.420987996132925257e-01,1.505751401215384755e+00,-3.133863004634874994e+00,0.000000000000000000e+00,-2.289056526464981478e-01
7.000000000000004829e-02,7.145817729944976826e-02,-1.483812579595870373e-01,1.512278269743226877e+00,-3.148395955661720258e+00,0.000000000000000000e+00,-2.203117677860328971e-01
