time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.090207558533317966e+00
2.000000000000000042e-03,9.652986527278114301e-05,-2.000964307701111810e-04,9.652696623475680304e-02,-2.000906431041475086e-01,0.000000000000000000e+00,-1.039924346280221013e+00
4.000000000000000083e-03,3.816324495323822059e-04,-7.910872732456848645e-04,1.885670400362687293e-01,-3.908830734557062758e-01,0.000000000000000000e+00,-9.918365704249916259e-01
6.000000000000000125e-03,8.464947515797111629e-04,-1.754711952596796094e-03,2.762812273840838939e-01,-5.727135836063018681e-01,0.000000000000000000e+00,-9.458581601647368942e-01
8.000000000000000167e-03,1.482619442324011744e-03,-3.073369226074973252e-03,3.598241673552813324e-01,-7.459051582683891013e-01,0.000000000000000000e+00,-9.019064104134415505e-01
1.000000000000000021e-02,2.281812287760768589e-03,-4.730090899259432706e-03,4.393442965314753312e-01,-9.107678217949730648e-01,0.000000000000000000e+00,-8.599019320402800926e-01
1.200000000000000025e-02,3.236169939762270284e-03,-6.708516316692406112e-03,5.149840509460525961e-01,-1.067599062112266850e+00,0.000000000000000000e+00,-8.197685749769721975e-01
1.400000000000000029e-02,4.338068158507647591e-03,-8.992867756756067407e-03,5.868800945415199033e-01,-1.216684308507980594e+00,0.000000000000000000e+00,-7.814333312496311024e-01
1.600000000000000033e-02,5.580150510361764869e-03,-1.156792681963929141e-02,6.551635651184888331e-01,-1.358297444804765775e+00,0.000000000000000000e+00,-7.448262237270767416e-01
1.800000000000000211e-02,6.955317568701515490e-03,-1.441901186384187197e-02,7.199603304566061235e-01,-1.492701342932866826e+00,0.000000000000000000e+00,-7.098801853103365866e-01
2.000000000000000389e-02,8.456716632001889597e-03,-1.753195651967201854e-02,7.813912487171024157e-01,-1.620148404847520096e+00,0.000000000000000000e+00,-6.765309323896938620e-01
2.200000000000000566e-02,1.007773196293287182e-02,-2.089308928658420439e-02,8.395724284354022515e-01,-1.740881103194825474e+00,0.000000000000000000e+00,-6.447168356419424873e-01
2.400000000000000744e-02,1.181197554385519932e-02,-2.448921420410313937e-02,8.946154844146321228e-01,-1.855132513184963194e+00,0.000000000000000000e+00,-6.143787906098620022e-01
2.600000000000000921e-02,1.365327833757563544e-02,-2.830759257274154117e-02,9.466277866666807927e-01,-1.963126829844943799e+00,0.000000000000000000e+00,-5.854600899798891867e-01
2.800000000000001099e-02,1.559568203722359707e-02,-3.233592569111446574e-02,9.957127002424605022e-01,-2.065079866247438556e+00,0.000000000000000000e+00,-5.579062990361689511e-01
3.000000000000001277e-02,1.763343128538150464e-02,-3.656233856784907310e-02,1.041969814369241298e+00,-2.161199529492917382e+00,0.000000000000000000e+00,-5.316651354059851453e-01
3.200000000000001454e-02,1.976096633992248386e-02,-4.097536456143776457e-02,1.085495159789180430e+00,-2.251686272197908956e+00,0.000000000000000000e+00,-5.066863539111473580e-01
3.400000000000001632e-02,2.197291616219743809e-02,-4.556393089750759851e-02,1.126381413585349156e+00,-2.336733518045352120e+00,0.000000000000000000e+00,-4.829216370922055912e-01
3.600000000000001810e-02,2.426409190211438818e-02,-5.031734501076279287e-02,1.164718091103105424e+00,-2.416528060611284001e+00,0.000000000000000000e+00,-4.603244917691284299e-01
3.800000000000001987e-02,2.662948075413654192e-02,-5.522528165783391341e-02,1.200591724836840513e+00,-2.491250435218667736e+00,0.000000000000000000e+00,-4.388501518360093390e-01
4.000000000000002165e-02,2.906424015818289894e-02,-6.027777074721314687e-02,1.234086030364412334e+00,-2.561075264003401131e+00,0.000000000000000000e+00,-4.184554873526913354e-01
4.200000000000002343e-02,3.156369231975421352e-02,-6.546518583318196305e-02,1.265282059581867458e+00,-2.626171574725703284e+00,0.000000000000000000e+00,-3.990989198878622801e-01
4.400000000000002520e-02,3.412331902425098235e-02,-7.077823322198688316e-02,1.294258341625967645e+00,-2.686703094135723724e+00,0.000000000000000000e+00,-3.807403439819579960e-01
4.600000000000002698e-02,3.673875672133330300e-02,-7.620794164035761542e-02,1.321091011977110874e+00,-2.742828516916707926e+00,0.000000000000000000e+00,-3.633410545307601547e-01
4.800000000000002875e-02,3.940579185624032421e-02,-8.174565241867706722e-02,1.345853930315087377e+00,-2.794701751391874822e+00,0.000000000000000000e+00,-3.468636798388013420e-01
5.000000000000003053e-02,4.212035642619274545e-02,-8.738301014360903840e-02,1.368618787758648647e+00,-2.842472143300293741e+00,0.000000000000000000e+00,-3.312721200532515731e-01
5.200000000000003231e-02,4.487852374130647110e-02,-9.311195373768647865e-02,1.389455204160334967e+00,-2.886284679029202493e+00,0.000000000000000000e+00,-3.165314906617343604e-01
5.400000000000003408e-02,4.767650437081545622e-02,-9.892470792619287301e-02,1.408430816153212417e+00,-2.926280169741081849e+00,0.000000000000000000e+00,-3.026080707197495445e-01
5.600000000000003586e-02,5.051064225680910319e-02,-1.048137750545738295e-01,1.425611356658439410e+00,-2.962595417858217228e+00,0.000000000000000000e+00,-2.894692554635742709e-01
5.800000000000003764e-02,5.337741097911026522e-02,-1.107719272225465845e-01,1.441060726563972327e+00,-2.995363367369597185e+00,0.000000000000000000e+00,-2.770835129614162562e-01
6.000000000000003941e-02,5.627341015633419152e-02,-1.167921987039911291e-01,1.454841059276957171e+00,-3.024713239408428844e+00,0.000000000000000000e+00,-2.654203444580484073e-01
6.200000000000004119e-02,5.919536196955958035e-02,-1.228678786245734900e-01,1.467012778836979336e+00,-3.050770654516375746e+00,0.000000000000000000e+00,-2.544502480752524609e-01
6.400000000000004297e-02,6.214010779639686510e-02,-1.289925038718411354e-01,1.477634652255680914e+00,-3.073657742965630657e+00,0.000000000000000000e+00,-2.441446855412875150e-01
6.600000000000004474e-02,6.510460494454391178e-02,-1.351598522152193671e-01,1.486763836721498366e+00,-3.093493244454511792e+00,0.000000000000000000e+00,-2.344760516365198832e-01
6.800000000000004652e-02,6.808592347516696786e-02,-1.413639356159070437e-01,1.494455922277461601e+00,-3.110392598428582733e+00,0.000000000000000000e+00,-2.254176460587045960e-01
7.000000000000004829e-02,7.108124310762740927e-02,-1.475989937091053139e-01,1.500764970546065724e+00,-3.124468026209250571e+00,0.000000000000000000e+00,-2.169436474295600159e-01
7.200000000000005007e-02,7.408785019818735218e-02,-1.538594874433037718e-01,1.505743550039012169e+00,-3.135828606037107225e+00,0.000000000000000000e+00,-2.090290891837810749e-01
7.400000000000005185e-02,7.710313478636544871e-02,-1.601400928634865994e-01,1.509442768551862546e+00,-3.144580342059463796e+00,0.000000000000000000e+00,-2.016498371019918856e-01
7.600000000000005362e-02,8.012458770357638871e-02,-1.664356950271009550e-01,1.511912303105014788e+00,-3.150826228211939029e+00,0.000000000000000000e+00,-1.947825682699898808e-01
7.800000000000005540e-02,8.314979773957169307e-02,-1.727413820434508807e-01,1.513200427853486296e+00,-3.154666307863831065e+00,0.000000000000000000e+00,-1.884047512675801062e-01
8.000000000000005718e-02,8.617644886300609985e-02,-1.790524392288402322e-01,1.513354040349280671e+00,-3.156197730017325842e+00,0.000000000000000000e+00,-1.824946274111286515e-01
8.200000000000005895e-02,8.920231749318359438e-02,-1.853643433712904853e-01,1.512418686502088327e+00,-3.155514802772354965e+00,0.000000000000000000e+00,-1.770311928942842616e-01
8.400000000000006073e-02,9.222526982069188806e-02,-1.916727571000073349e-01,1.510438584547087348e+00,-3.152709044692857177e+00,0.000000000000000000e+00,-1.719941816910495191e-01
8.600000000000006251e-02,9.524325917521611617e-02,-1.979735233559683782e-01,1.507456648293014512e+00,-3.147869234636988534e+00,0.000000000000000000e+00,-1.673640491042430178e-01
8.800000000000006428e-02,9.825432343933507284e-02,-2.042626599610600224e-01,1.503514509889728012e+00,-3.141081460544044912e+00,0.000000000000000000e+00,-1.631219558602490516e-01
9.000000000000006606e-02,1.012565825075496251e-01,-2.105363542841107993e-01,1.498652542322387315e+00,-3.132429167604892761e+00,0.000000000000000000e+00,-1.592497526677406350e-01
9.200000000000006783e-02,1.042482357901771267e-01,-2.167909580029606098e-01,1.492909881809312500e+00,-3.121993206180932567e+00,0.000000000000000000e+00,-1.557299651736307744e-01
9.400000000000006961e-02,1.072275597620717946e-01,-2.230229819623774923e-01,1.486324450252661800e+00,-3.109851879779251593e+00,0.000000000000000000e+00,-1.525457792638011123e-01
9.600000000000007139e-02,1.101929055564034171e-01,-2.292290911281960608e-01,1.478932977865352383e+00,-3.096080993338813592e+00,0.000000000000000000e+00,-1.496810266692346347e-01
9.800000000000007316e-02,1.131426966039500714e-01,-2.354060996385130000e-01,1.470771026074195964e+00,-3.080753902034372160e+00,0.000000000000000000e+00,-1.471201708498636185e-01
1.000000000000000749e-01,1.160754263185391905e-01,-2.415509659531445141e-01,1.461873010778014015e+00,-3.063941560761265670e+00,0.000000000000000000e+00,-1.448482931389036277e-01
1.020000000000000767e-01,1.189896558294094991e-01,-2.476607881028375091e-01,1.452272226020516310e+00,-3.045712574425282426e+00,0.000000000000000000e+00,-1.428510791396106483e-01
1.040000000000000785e-01,1.218840117613690516e-01,-2.537327990399399491e-01,1.442000868120915991e+00,-3.026133249127306968e+00,0.000000000000000000e+00,-1.411148053743340458e-01
1.060000000000000803e-01,1.247571840636956669e-01,-2.597643620923846264e-01,1.431090060290534760e+00,-3.005267644302252794e+00,0.000000000000000000e+00,-1.396263261924889365e-01
1.080000000000000820e-01,1.276079238887694589e-01,-2.657529665229331206e-01,1.419569877750924469e+00,-2.983177625845694347e+00,0.000000000000000000e+00,-1.383730609497402508e-01
1.100000000000000838e-01,1.304350415214473591e-01,-2.716962231956704943e-01,1.407469373358199549e+00,-2.959922920239408395e+00,0.000000000000000000e+00,-1.373429814752582800e-01
1.120000000000000856e-01,1.332374043601894931e-01,-2.775918603517454342e-01,1.394816603729200688e+00,-2.935561169668437831e+00,0.000000000000000000e+00,-1.365245998475493050e-01
1.140000000000000874e-01,1.360139349509310036e-01,-2.834377194963195734e-01,1.381638655857678533e+00,-2.910147988107074646e+00,0.000000000000000000e+00,-1.359069565020916692e-01
1.160000000000000892e-01,1.387636090746631468e-01,-2.892317513986319977e-01,1.367961674202757161e+00,-2.883737018339026292e+00,0.000000000000000000e+00,-1.354796086959207668e-01
1.180000000000000909e-01,1.414854538896469227e-01,-2.949720122070061401e-01,1.353810888227381604e+00,-2.856379989867714464e+00,0.000000000000000000e+00,-1.352326193554958811e-01
1.200000000000000927e-01,1.441785461291351378e-01,-3.006566596805305136e-01,1.339210640361128135e+00,-2.828126777665861624e+00,0.000000000000000000e+00,-1.351565463347243756e-01
1.220000000000000945e-01,1.468420103554243239e-01,-3.062839495390385913e-01,1.324184414359539153e+00,-2.799025461709009566e+00,0.000000000000000000e+00,-1.352424321099619242e-01
1.240000000000000963e-01,1.494750172710014868e-01,-3.118522319328992931e-01,1.308754864030895027e+00,-2.769122387235079863e+00,0.000000000000000000e+00,-1.354817939382884084e-01
1.260000000000000842e-01,1.520767820874915632e-01,-3.173599480340128509e-01,1.292943842300939172e+00,-2.738462225671304040e+00,0.000000000000000000e+00,-1.358666145044148399e-01
1.280000000000000859e-01,1.546465629530529573e-01,-3.228056267492897535e-01,1.276772430586414320e+00,-2.707088036170577361e+00,0.000000000000000000e+00,-1.363893330802267434e-01
1.300000000000000877e-01,1.571836594388106578e-01,-3.281878815577762842e-01,1.260260968449219199e+00,-2.675041327701275229e+00,0.000000000000000000e+00,-1.370428372194094913e-01
1.320000000000000895e-01,1.596874110848621464e-01,-3.335054074724814743e-01,1.243429083504482557e+00,-2.642362121637634953e+00,0.000000000000000000e+00,-1.378204550077358481e-01
1.340000000000000913e-01,1.621571960063387940e-01,-3.387569781278575443e-01,1.226295721557751239e+00,-2.609089014801736273e+00,0.000000000000000000e+00,-1.387159478876144880e-01
1.360000000000000930e-01,1.645924295599588416e-01,-3.439414429937928119e-01,1.208879176948738587e+00,-2.575259242912734337e+00,0.000000000000000000e+00,-1.397235040733372236e-01
1.380000000000000948e-01,1.669925630714647058e-01,-3.490577247168926700e-01,1.191197123081585207e+00,-2.540908744404161812e+00,0.000000000000000000e+00,-1.408377325712557304e-01
1.400000000000000966e-01,1.693570826243002980e-01,-3.541048165897504041e-01,1.173266643124280639e+00,-2.506072224575659924e+00,0.000000000000000000e+00,-1.420536578168737629e-01
1.420000000000000984e-01,1.716855079098519865e-01,-3.590817801488488392e-01,1.155104260862728882e+00,-2.470783220051313567e+00,0.000000000000000000e+00,-1.433667149385465522e-01
1.440000000000001001e-01,1.739773911395506301e-01,-3.639877429016835086e-01,1.136725971697838844e+00,-2.435074163522724877e+00,0.000000000000000000e+00,-1.447727456552810321e-01
1.460000000000001019e-01,1.762323160191116567e-01,-3.688218961836604026e-01,1.118147273776958883e+00,-2.398976448760985036e+00,0.000000000000000000e+00,-1.462679948138992936e-01
1.480000000000001037e-01,1.784498967851760320e-01,-3.735834931452958751e-01,1.099383199253891163e+00,-2.362520495887685090e+00,0.000000000000000000e+00,-1.478491075687541623e-01
1.500000000000001055e-01,1.806297773046057764e-01,-3.782718468702316872e-01,1.080448345674595245e+00,-2.325735816901003172e+00,0.000000000000000000e+00,-1.489352813054383440e-01
1.520000000000001072e-01,1.827715839947558762e-01,-3.828862326721108600e-01,1.061310702452453292e+00,-2.288555203857896903e+00,0.000000000000000000e+00,-1.503278868266781920e-01
