time,pos_meas1,pos_meas2,vel_meas1,vel_meas2,tau_con1,tau_con2
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.227038383483886719e+00
2.000000000000000042e-03,-2.857305161364324659e-04,5.922898194211153461e-04,-2.857219018742582772e-01,5.922726203432613357e-01,0.000000000000000000e+00,3.774664878845214844e+00
4.000000000000000083e-03,-1.191306422761335753e-03,2.469462956082030779e-03,-6.198261212330555825e-01,1.284844818328104932e+00,0.000000000000000000e+00,2.843167781829833984e+00
6.000000000000000125e-03,-2.682403616943508304e-03,5.560394337461624370e-03,-8.712238589519853971e-01,1.805992195689661628e+00,0.000000000000000000e+00,3.563027381896972656e+00
8.000000000000000167e-03,-4.739711516214948142e-03,9.825097291408881051e-03,-1.186014790806204866e+00,2.458572170492461240e+00,0.000000000000000000e+00,3.709033727645874023e+00
1.000000000000000021e-02,-7.439058849086436706e-03,1.542081661609850593e-02,-1.513234740816349122e+00,3.136951147238567383e+00,0.000000000000000000e+00,2.668581008911132812e+00
1.200000000000000025e-02,-1.070009705899809677e-02,2.218107829780092966e-02,-1.747681531215501627e+00,3.623066029296361013e+00,0.000000000000000000e+00,3.170702457427978516e+00
1.400000000000000029e-02,-1.447367888575240916e-02,3.000410480469707653e-02,-2.025744535971607085e+00,4.199647614809893348e+00,0.000000000000000000e+00,2.547049045562744141e+00
1.600000000000000033e-02,-1.874721176264649430e-02,3.886391232562812215e-02,-2.247605764129115613e+00,4.659793003427759039e+00,0.000000000000000000e+00,3.606853008270263672e+00
1.800000000000000211e-02,-2.355700003338450504e-02,4.883589760962239734e-02,-2.561940512140817194e+00,5.311704769219378619e+00,0.000000000000000000e+00,2.995987415313720703e+00
2.000000000000000389e-02,-2.893993242000561517e-02,5.999669532126766791e-02,-2.820711276909019460e+00,5.848527465684123960e+00,0.000000000000000000e+00,3.018482923507690430e+00
2.200000000000000566e-02,-3.484060429268438092e-02,7.223165067870199185e-02,-3.079625832764543159e+00,6.385752578135625690e+00,0.000000000000000000e+00,3.569593429565429688e+00
2.400000000000000744e-02,-4.130553895481443860e-02,8.563743037336991881e-02,-3.384884477575074602e+00,7.019169673348752525e+00,0.000000000000000000e+00,2.451850175857543945e+00
2.600000000000000921e-02,-4.827997805947077670e-02,1.001007812422688298e-01,-3.589121613633231789e+00,7.443307014958008949e+00,0.000000000000000000e+00,3.109340667724609375e+00
2.800000000000001099e-02,-5.571787783565592539e-02,1.155265440392977683e-01,-3.848236479201065041e+00,7.981360394102680722e+00,0.000000000000000000e+00,2.336049079895019531e+00
3.000000000000001277e-02,-6.360292883215314108e-02,1.318812301664216147e-01,-4.036265222341749670e+00,8.372215747005334663e+00,0.000000000000000000e+00,3.208121061325073242e+00
3.200000000000001454e-02,-7.193668216170148733e-02,1.491684131143286296e-01,-4.296781372466544902e+00,8.913536432478498028e+00,0.000000000000000000e+00,2.828643798828125000e+00
3.400000000000001632e-02,-8.075407353303498681e-02,1.674609232137741488e-01,-4.519858003816662695e+00,9.377451575592633759e+00,0.000000000000000000e+00,3.020216226577758789e+00
3.600000000000001810e-02,-9.002950410155843852e-02,1.867061375588573435e-01,-4.754707590522076366e+00,9.866010999906688284e+00,0.000000000000000000e+00,3.012470722198486328e+00
3.800000000000001987e-02,-9.976859010412957030e-02,2.069161978581997019e-01,-4.983420625537112514e+00,1.034210921076721590e+01,0.000000000000000000e+00,2.706906318664550781e+00
4.000000000000002165e-02,-1.099330517176646121e-01,2.280122783261265274e-01,-5.180049275240531159e+00,1.075196323540534138e+01,0.000000000000000000e+00,3.001438379287719727e+00
4.200000000000002343e-02,-1.205096539445609932e-01,2.499675258771213160e-01,-5.395416583669960353e+00,1.120098222572452507e+01,0.000000000000000000e+00,2.744447708129882812e+00
4.400000000000002520e-02,-1.314883547787840390e-01,2.727617587894822226e-01,-5.582120513908878756e+00,1.159089432376036122e+01,0.000000000000000000e+00,2.207829952239990234e+00
4.600000000000002698e-02,-1.427885592287792549e-01,2.962285113776601531e-01,-5.716991927101098270e+00,1.187365000132919768e+01,0.000000000000000000e+00,3.742291927337646484e+00
4.800000000000002875e-02,-1.544786388631213814e-01,3.205103206608970190e-01,-5.971501076074291703e+00,1.240494272222463046e+01,0.000000000000000000e+00,3.022695779800415039e+00
5.000000000000003053e-02,-1.666091813315163650e-01,3.457129531215006879e-01,-6.157573626554804669e+00,1.279471835501861854e+01,0.000000000000000000e+00,3.798606395721435547e+00
5.200000000000003231e-02,-1.791655702956136964e-01,3.718070141064807044e-01,-6.397009937284330761e+00,1.329568453016879737e+01,0.000000000000000000e+00,2.675944566726684570e+00
5.400000000000003408e-02,-1.921003449635867999e-01,3.986950228271170515e-01,-6.536285109409135430e+00,1.358933398471842935e+01,0.000000000000000000e+00,2.534738063812255859e+00
5.600000000000003586e-02,-2.052936401519938614e-01,4.261292501958373613e-01,-6.655559854370278750e+00,1.384196577349135104e+01,0.000000000000000000e+00,2.088904857635498047e+00
5.800000000000003764e-02,-2.186822615759672628e-01,4.539795187243448327e-01,-6.731786126654570879e+00,1.400573434154067343e+01,0.000000000000000000e+00,2.290185689926147461e+00
6.000000000000003941e-02,-2.322310404822985341e-01,4.821738042053706486e-01,-6.815648842838172072e+00,1.418584562307935037e+01,0.000000000000000000e+00,1.476937532424926758e+00
6.200000000000004119e-02,-2.458786197280677377e-01,5.105856936461770079e-01,-6.830962266757770962e+00,1.422410717678592817e+01,0.000000000000000000e+00,2.027562141418457031e+00
6.400000000000004297e-02,-2.595916245150434176e-01,5.391468343452746614e-01,-6.880875932832699604e+00,1.433469479404993230e+01,0.000000000000000000e+00,2.422281503677368164e+00
6.600000000000004474e-02,-2.734260513435624596e-01,5.679745284515090864e-01,-6.952243430951351222e+00,1.449037659109983167e+01,0.000000000000000000e+00,1.919043660163879395e+00
6.800000000000004652e-02,-2.873597582721079124e-01,5.970238515476410379e-01,-6.980425250150049443e+00,1.455687542237985710e+01,0.000000000000000000e+00,1.987914443016052246e+00
7.000000000000004829e-02,-3.013484866462085021e-01,6.262039068237109651e-01,-7.007283064614267865e+00,1.462114890560981095e+01,0.000000000000000000e+00,1.880116462707519531e+00
7.200000000000005007e-02,-3.153775658464200160e-01,6.554852623306204329e-01,-7.020878438207628136e+00,1.465838718841242638e+01,0.000000000000000000e+00,2.105414867401123047e+00
7.400000000000005185e-02,-3.294434821638747013e-01,6.848616948060702869e-01,-7.044069544271096106e+00,1.471612624836685335e+01,0.000000000000000000e+00,1.683596372604370117e+00
7.600000000000005362e-02,-3.435224932715784107e-01,7.142849261202754985e-01,-7.034223876190856650e+00,1.470569901192697593e+01,0.000000000000000000e+00,2.467843294143676758e+00
7.800000000000005540e-02,-3.576278299582583697e-01,7.437835998292302575e-01,-7.070088084314335219e+00,1.479094845937882852e+01,0.000000000000000000e+00,1.475046873092651367e+00
8.000000000000005718e-02,-3.717366444915344292e-01,7.733113264577027302e-01,-7.038211590171630228e+00,1.473579102964156284e+01,0.000000000000000000e+00,1.862219572067260742e+00
8.200000000000005895e-02,-3.858024625424014697e-01,8.027724784985468265e-01,-7.026968933858381838e+00,1.472412822451373593e+01,0.000000000000000000e+00,2.374141216278076172e+00
8.400000000000006073e-02,-3.998727850308194109e-01,8.322671115081670123e-01,-7.042539564669143992e+00,1.476891824780821416e+01,0.000000000000000000e+00,2.039418220520019531e+00
8.600000000000006251e-02,-4.139498268667946013e-01,8.618010857478999309e-01,-7.033887549527271688e+00,1.476387759538316935e+01,0.000000000000000000e+00,1.855784654617309570e+00
8.800000000000006428e-02,-4.279954349489543119e-01,8.912961387390129220e-01,-7.011233824487900890e+00,1.473026018226329015e+01,0.000000000000000000e+00,1.768278479576110840e+00
9.000000000000006606e-02,-4.419879938814925135e-01,9.207084098669061634e-01,-6.980920185921645427e+00,1.468126499279468433e+01,0.000000000000000000e+00,2.379277944564819336e+00
9.200000000000006783e-02,-4.559511299399376383e-01,9.500884110473118982e-01,-6.981600836303052837e+00,1.469757002441891025e+01,0.000000000000000000e+00,2.109737396240234375e+00
9.400000000000006961e-02,-4.698975518402737084e-01,9.794639930702482289e-01,-6.964359547034087328e+00,1.467716057792829609e+01,0.000000000000000000e+00,2.810585498809814453e+00
9.600000000000007139e-02,-4.838436177107158787e-01,1.008870726611753810e+00,-6.981008613300297760e+00,1.472825065211330120e+01,0.000000000000000000e+00,2.761525630950927734e+00
9.800000000000007316e-02,-4.978163647252956125e-01,1.038366631761907133e+00,-6.991104268224750840e+00,1.476646648316779675e+01,0.000000000000000000e+00,2.497689247131347656e+00
1.000000000000000749e-01,-5.117923266653854331e-01,1.067904301815651102e+00,-6.984365705201970975e+00,1.477030761211801035e+01,0.000000000000000000e+00,2.606177330017089844e+00
