Wall time,Step,Value
1742629739.4553046,100000,-747281.125
1742629760.563672,200000,-914602.0
1742629788.0424402,300000,-618647.1875
1742629809.762656,400000,-402727.8125
1742629836.9716687,500000,-796058.8125
1742629858.2207897,600000,-845763.75
1742629879.4358284,700000,-845063.375
1742629906.8029108,800000,-834412.1875
1742629928.2113159,900000,-834848.125
1742629955.5876982,1000000,-816845.6875
1742629976.8681939,1100000,-808672.4375
1742629998.1056638,1200000,-802143.4375
1742630025.6282775,1300000,-777108.5
1742630046.6914806,1400000,-799650.8125
1742630074.3641362,1500000,-783609.375
1742630095.638841,1600000,-775121.4375
1742630116.951732,1700000,-733890.0625
1742630144.2308693,1800000,-741109.625
1742630165.3854775,1900000,-732745.9375
1742630193.002613,2000000,-731564.5625
1742630215.533106,2100000,-473942.9375
1742630237.558886,2200000,-533268.875
1742630266.804112,2300000,-269245.25
1742630289.3475807,2400000,-297816.9375
1742630317.2370856,2500000,-703058.5
1742630339.753142,2600000,-126006.4609375
1742630362.4529886,2700000,-180036.109375
1742630391.436555,2800000,-117229.1171875
1742630413.3771696,2900000,-448142.25
1742630442.0125563,3000000,-136859.25
1742630464.7116416,3100000,-158252.484375
1742630487.457059,3200000,-133019.234375
1742630516.4921436,3300000,-263926.34375
1742630538.855075,3400000,-251982.6875
1742630568.3095798,3500000,-50299.5234375
1742630591.244564,3600000,-70112.1796875
1742630614.283932,3700000,-136635.65625
1742630642.8302069,3800000,-128810.5234375
1742630665.7487159,3900000,-98804.9140625
1742630694.8626432,4000000,-113652.9609375
1742630717.2722502,4100000,-310357.59375
1742630739.8224564,4200000,-252535.34375
1742630769.1246421,4300000,-123784.3515625
1742630791.9180634,4400000,-103397.390625
1742630820.8898787,4500000,-162220.703125
1742630843.837301,4600000,-79762.453125
1742630866.9502618,4700000,-131764.40625
1742630895.719182,4800000,-167389.03125
1742630918.6517813,4900000,-105002.6640625
1742630948.2666583,5000000,-86584.1875
1742630971.3038464,5100000,-128434.0703125
1742630994.470288,5200000,-49344.94921875
1742631023.5425441,5300000,-111100.4375
1742631046.318124,5400000,-165451.40625
1742631075.7694738,5500000,-131058.5625
1742631098.6787922,5600000,-108614.1953125
1742631121.750084,5700000,-119078.3359375
1742631151.0111544,5800000,-56805.20703125
1742631173.9643798,5900000,-97444.0390625
1742631202.795079,6000000,-27627.6328125
1742631225.7196867,6100000,-81645.4609375
1742631249.0223427,6200000,12461.8955078125
1742631278.806785,6300000,-88180.421875
1742631301.574616,6400000,-95094.421875
1742631331.2289722,6500000,-91844.0546875
1742631354.1564806,6600000,-89766.2109375
1742631377.2835166,6700000,-169671.46875
1742631406.8590035,6800000,-40801.125
1742631430.0604877,6900000,-35491.48828125
1742631459.4007673,7000000,-29037.330078125
1742631482.7404444,7100000,-71076.609375
1742631505.5155435,7200000,-91591.8671875
1742631534.5447392,7300000,-108223.3046875
1742631556.6205497,7400000,-751234.9375
1742631585.7309136,7500000,-176266.609375
1742631608.0270486,7600000,-717188.0
1742631630.6583242,7700000,-259427.40625
1742631659.5284336,7800000,-287285.78125
1742631682.3717675,7900000,-61572.8671875
1742631711.381813,8000000,-95722.90625
1742631734.5951998,8100000,-52890.65625
1742631757.527945,8200000,-45981.42578125
1742631786.7147956,8300000,-38690.2265625
1742631809.417838,8400000,-51906.8828125
1742631838.5063608,8500000,-76738.796875
1742631861.3466249,8600000,14563.2099609375
1742631884.4088655,8700000,-60752.34765625
1742631913.9075959,8800000,-14971.2646484375
1742631936.4139128,8900000,-169852.296875
1742631965.6359115,9000000,-121428.203125
1742631988.4883568,9100000,-70678.4609375
1742632011.5063922,9200000,-56553.3671875
1742632040.9205658,9300000,-120571.1875
1742632063.7599764,9400000,-91940.515625
1742632093.5360126,9500000,-12238.25390625
1742632117.6977665,9600000,-33229.74609375
1742632140.6535506,9700000,-34432.71875
1742632170.1306365,9800000,-117211.5625
1742632193.0590105,9900000,-122651.296875
1742632221.6902564,10000000,-59524.99609375
1742632244.2128851,10100000,-121085.765625
1742632266.711753,10200000,-120570.9609375
1742632296.1686997,10300000,-105196.5390625
1742632318.3818038,10400000,-106969.8125
1742632347.2972825,10500000,-109830.890625
1742632370.0703409,10600000,-62889.41796875
1742632393.2334335,10700000,-28388.1640625
1742632422.1803951,10800000,-41252.23046875
1742632444.7918906,10900000,-78773.6484375
1742632473.898612,11000000,-149847.875
1742632496.9053617,11100000,-88783.9921875
1742632519.581627,11200000,-39591.14453125
1742632549.1465495,11300000,-75270.5
1742632572.0354111,11400000,-119917.453125
1742632602.04736,11500000,-106641.6171875
1742632625.2890067,11600000,-47317.6875
1742632648.695405,11700000,-129245.9921875
1742632677.8444989,11800000,-85765.2265625
1742632701.1958563,11900000,-98800.0
1742632730.7904534,12000000,-103549.3046875
1742632754.3212125,12100000,-282020.5625
1742632777.563186,12200000,-51743.453125
1742632807.6280148,12300000,-118746.6484375
1742632830.9079366,12400000,-71481.1875
1742632861.284336,12500000,-117631.515625
1742632884.7871003,12600000,-139481.453125
1742632908.514633,12700000,-136221.578125
1742632938.056147,12800000,-118072.875
1742632961.87058,12900000,-76463.40625
1742632991.967893,13000000,-85863.96875
1742633015.7497227,13100000,-121272.640625
1742633039.7587316,13200000,-98579.515625
1742633069.6393878,13300000,-128379.40625
1742633093.5276403,13400000,-138888.90625
1742633124.3823047,13500000,-44163.6796875
1742633148.274467,13600000,-143003.71875
1742633172.0881546,13700000,-142589.359375
1742633203.220823,13800000,-134609.78125
1742633227.897163,13900000,-140062.125
1742633258.874191,14000000,-109711.8125
1742633283.218747,14100000,-152207.828125
1742633307.7928243,14200000,-114451.5703125
1742633339.061461,14300000,-86176.8046875
1742633362.779768,14400000,-68715.328125
1742633393.3308985,14500000,-114877.0703125
1742633417.480118,14600000,-89676.5625
1742633441.4756808,14700000,-98509.1796875
1742633472.5148287,14800000,-89790.3515625
1742633496.5441077,14900000,-139249.53125
1742633526.3783722,15000000,-34079.125
1742633550.2531946,15100000,16825.689453125
1742633575.2461097,15200000,-75671.0859375
1742633607.2755992,15300000,-67956.7734375
1742633632.7715561,15400000,-53783.84375
1742633663.0815935,15500000,-400235.9375
1742633687.132624,15600000,-43654.65234375
1742633711.5204525,15700000,-266995.0625
1742633742.5694108,15800000,-61456.125
1742633767.6580935,15900000,-108027.34375
